#{"t_start": 1775191533.8347805, "env_id": "None"}
r,l,t
0.062480014,500,24.479724
0.04155948,500,42.538298
0.04783866,500,57.66732
4.392157,500,76.476761
0.07187464,500,94.749984
0.07679351,500,110.413729
0.35008317,500,123.859936
0.73560965,500,140.556325
0.23079644,500,160.746935
0.15027939,500,179.764924
0.05326295,500,199.83877
0.038603712,500,222.303065
0.37381858,500,242.107929
0.07170465,500,262.076929
0.19488375,500,284.254227
3.3483384,500,303.192969
2.490481,500,322.359788
0.29872465,500,340.693087
0.22238551,500,361.860359
4367.495,500,378.68729
0.2735686,500,400.545351
0.76339966,500,417.019885
0.27942166,500,432.542677
0.25825402,500,453.707097
7.405628,500,471.359087
45.09177,500,489.326672
3.3007903,500,507.270181
0.24109411,500,524.897457
2.549033,500,543.99051
20.18589,500,561.060559
2.996039,500,577.887969
2.2004626,500,602.416556
0.1515185,500,624.724744
0.31891885,500,640.63038
24.047523,500,656.711538
3.3687208,500,672.450973
0.21941063,500,691.733307
8.959148,500,706.816674
0.11912698,500,722.84854
1.4380883,500,745.540544
0.33543834,500,763.930279
5.076461,500,784.819037
1.7635806,500,806.279838
7.4360905,500,827.41213
0.7602416,500,845.640026
0.57165074,500,869.054539
0.17730844,500,886.423792
0.44908914,500,906.366247
3.3051014,500,922.350193
0.052685402,500,945.085888
0.88039637,500,967.623209
3.043934,500,986.195757
0.104550995,500,1009.179685
27.95698,500,1028.020945
0.14583533,500,1048.473939
23.820263,500,1065.243901
31.852005,500,1081.504983
0.47345033,500,1099.708381
0.17146018,500,1117.36221
0.08129326,500,1136.172497
1.1805131,500,1156.657655
0.0882349,500,1180.997367
2.1544485,500,1201.923695
0.38971174,500,1221.920952
0.18105543,500,1238.976807
3704.389,500,1260.735885
12.654581,500,1276.936537
0.025151756,500,1293.960719
12.355886,500,1310.467025
0.08832606,500,1327.288523
10.054807,500,1343.192129
20.740948,500,1360.650237
1.276437,500,1380.875701
0.18592443,500,1399.141972
0.31756017,500,1415.71435
0.11340165,500,1432.26405
0.35307512,500,1450.65909
0.63502306,500,1465.183588
1.1485856,500,1483.052184
2.0166383,500,1503.722719
10.811789,500,1524.390421
0.053555664,500,1546.904675
1036.3943,500,1568.068988
0.20901681,500,1587.500784
4.8743305,500,1611.329136
0.07066041,500,1633.437633
22.409302,500,1651.869189
0.069491886,500,1670.820666
0.00012115346,500,1690.458856
0.1919552,500,1708.413332
0.14656375,500,1726.814116
2.2485452,500,1746.320094
29.060068,500,1765.925245
0.5100394,500,1787.236648
1.1980286,500,1810.174475
2.801117,500,1827.581615
0.033442423,500,1845.875851
1.090486,500,1863.371538
0.063237466,500,1883.607027
2.3740876,500,1897.609914
7.1113224,500,1915.017017
0.11126748,500,1933.840016
0.96640885,500,1950.853573
0.1919746,500,1965.856164
9.977037,500,1982.381037
